Seq,Row,Symbol,Order,IC,Entropy,Function
7Swap,59,I,7,0.899513829618478,3.13611424159735,diff
7Swap,60,IV,9,3.64374610453215,4.13616647822661,diff
7Swap,61,IV,8,2.57430974683475,4.56096249352038,diff
7Swap,62,V,9,2.71618977280664,4.60802549386816,diff
8Orig,20,I,10,0.601884197043422,2.47680465021549,diff
8Orig,21,IV,10,0.341195998314764,1.69379540455931,diff
8Orig,22,I,10,0.601884197043422,2.47680465021549,diff
8Orig,23,IV,10,0.341195998314764,1.69379540455931,diff
8Orig,24,V,10,4.27538143918594,2.47680465021549,diff
8Orig,25,I,10,1.9822004117796,3.63253215310825,diff
8Orig,26,IV,10,2.03638450869471,4.35740334826635,diff
8Orig,27,V,10,1.54922911581297,3.59073943170568,diff
8Orig,28,I,10,1.50968289638033,3.75911263958254,diff
8Orig,29,IV,8,1.15060971525124,3.80335543838047,diff
8Orig,30,V,10,1.8134539056749,3.73742658071022,diff
8Swap,20,I,10,0.601884197043422,2.47680465021549,diff
8Swap,21,IV,10,0.341195998314764,1.69379540455931,diff
8Swap,22,I,10,0.601884197043422,2.47680465021549,diff
8Swap,23,IV,10,0.341195998314764,1.69379540455931,diff
8Swap,24,V,10,4.27538143918594,2.47680465021549,diff
8Swap,25,V,10,1.98621137471485,3.63253215310825,diff
8Swap,26,IV,10,3.20321967734887,3.52832014221098,diff
8Swap,27,V,7,2.96681377117189,3.9623635284055,diff
8Swap,28,I,7,2.33277996001102,3.91832192855441,diff
8Swap,29,IV,7,3.88514544517521,4.8824653169202,diff
8Swap,30,V,7,2.91767688654162,3.23531088964147,diff
9Orig,169,-III,5,5.62476322429227,4.44883775553459,same
9Orig,170,-VII,3,3.68243750122701,5.14875811674521,same
9Orig,171,I,4,4.15286090526914,4.46951786935386,same
9Orig,172,-III,4,2.8066802296747,4.61957880699843,same
9Orig,173,-VII,4,0.32568885369701,1.77012702573158,same
9Orig,174,I,6,2.87585811202684,3.78276197959627,same
9Orig,175,-VII,6,3.54305063122326,4.25401683719485,same
9Orig,176,I,5,1.22596364232925,3.57342925640261,same
9Orig,177,-III,6,5.3859623763937,4.47594684651613,same
9Orig,178,IV,4,3.68224647828727,4.76358429897408,same
9Orig,179,-III,4,4.57204992139169,4.36323627304921,same
9Swap,169,-III,5,5.62476322429227,4.44883775553459,same
9Swap,170,-VII,3,3.68243750122701,5.14875811674521,same
9Swap,171,I,4,4.15286090526914,4.46951786935386,same
9Swap,172,-III,4,2.8066802296747,4.61957880699843,same
9Swap,173,-VII,4,0.32568885369701,1.77012702573158,same
9Swap,174,-III,6,2.88624219788044,3.78276197959627,same
9Swap,175,-VII,4,0.429266015625978,2.11867104545506,same
9Swap,176,I,5,5.54190932951883,1.87223741384591,same
9Swap,177,-III,5,3.19419369393335,3.93368122408039,same
9Swap,178,IV,4,5.57372083447405,1.77012702573158,same
9Swap,179,-III,4,4.57204992139169,4.36323627304921,same
10Orig,53,I,8,2.29868432430927,4.82878795915354,same
10Orig,54,I,8,1.10729999776092,3.7589162691607,same
10Orig,55,I,9,1.08231476192548,3.74588442191655,same
10Orig,56,-III,10,5.89620563525321,3.59884485597101,same
10Orig,57,-VII,9,3.58212789231403,4.9374623807565,same
10Orig,58,I,6,2.87075893911272,3.81645993875873,same
10Orig,59,-III,6,1.60253372802499,4.05417303489958,same
10Orig,60,-VII,4,0.32568885369701,1.77012702573158,same
10Orig,61,I,7,0.623535871657493,2.36227692812983,same
10Orig,62,-VII,8,4.54290707089239,2.8758424330908,same
10Orig,63,I,5,1.22596364232925,3.57342925640261,same
10Swap,53,I,8,2.29868432430927,4.82878795915354,same
10Swap,54,I,8,1.10729999776092,3.7589162691607,same
10Swap,55,I,9,1.08231476192548,3.74588442191655,same
10Swap,56,-III,10,5.89620563525321,3.59884485597101,same
10Swap,57,-VII,9,3.58212789231403,4.9374623807565,same
10Swap,58,-III,6,2.88155227496655,3.81645993875873,same
10Swap,59,-III,4,6.55274597047609,2.11867104545506,same
10Swap,60,-VII,3,4.35453004280108,5.22279744605835,same
10Swap,61,I,4,4.75734246423097,3.9665181037767,same
10Swap,62,-VII,3,4.0890876676724,5.05113217887192,same
10Swap,63,I,4,1.76821909444228,4.06758021633853,same
11Orig,6,I,5,2.26786765053493,4.57498668972421,diff
11Orig,7,I,6,1.83915579387984,4.33892908406573,diff
11Orig,8,IV,7,2.77474416905733,4.90670815979219,diff
11Orig,9,IV,8,2.18169475082118,4.58773375259155,diff
11Orig,10,IV,9,3.89935151021776,4.61100424561705,diff
11Orig,11,I,9,1.98707167759548,3.90490451422674,diff
11Orig,12,I,7,0.43816417274128,2.06384951127349,diff
11Orig,13,I,10,4.12981605151069,4.25845780238765,diff
11Orig,14,I,7,2.8050577463273,4.03686678296414,diff
11Orig,15,V,7,4.09175571108249,4.90117321121699,diff
11Orig,16,ii,8,5.37884821730573,4.18371576529549,diff
11Swap,6,I,5,2.26786765053493,4.57498668972421,diff
11Swap,7,I,6,1.83915579387984,4.33892908406573,diff
11Swap,8,IV,7,2.77474416905733,4.90670815979219,diff
11Swap,9,IV,8,2.18169475082118,4.58773375259155,diff
11Swap,10,IV,9,3.89935151021776,4.61100424561705,diff
11Swap,11,IV,9,1.97462043415973,3.90490451422674,diff
11Swap,12,I,10,3.35046215811061,4.15086179781445,diff
11Swap,13,I,9,1.82659647412476,4.36237864151725,diff
11Swap,14,I,9,3.32145180872345,4.30613199931275,diff
11Swap,15,V,9,4.75907044716674,4.49016116969285,diff
11Swap,16,ii,6,4.99981919871069,4.64548347951777,diff
12Orig,160,I,6,2.95992427152465,4.40028778051764,diff
12Orig,161,V,6,4.01830266263837,4.34687578278586,diff
12Orig,162,I,6,2.0567852235837,4.21696543591909,diff
12Orig,163,I,7,1.64909921587837,4.17242922415495,diff
12Orig,164,I,8,2.67692616259749,4.55081833332395,diff
12Orig,165,V,9,1.95429717232629,3.85612536152663,diff
12Orig,166,I,10,1.05346639889565,3.24219600772246,diff
12Orig,167,I,8,0.256867102530418,1.42446893947381,diff
12Orig,168,r,10,2.90413937150713,3.85717550915608,diff
12Orig,169,r,7,0.62118678143913,2.17974316877839,diff
12Swap,160,I,6,2.95992427152465,4.40028778051764,diff
12Swap,161,V,6,4.01830266263837,4.34687578278586,diff
12Swap,162,I,6,2.0567852235837,4.21696543591909,diff
12Swap,163,I,7,1.64909921587837,4.17242922415495,diff
12Swap,164,I,8,2.67692616259749,4.55081833332395,diff
12Swap,165,I,9,1.94092642295728,3.85612536152663,diff
12Swap,166,I,10,2.67552183958662,4.27673732203983,diff
12Swap,167,I,10,1.03602901676301,3.49017466338799,diff
12Swap,168,r,10,3.36638988357066,4.53845776596834,diff
12Swap,169,r,8,1.28297658604809,3.26487306492342,diff
13Orig,7,I,5,2.06955154586731,3.69656478212149,diff
13Orig,8,I,6,2.80909550862217,4.6815697478369,diff
13Orig,9,-VII,7,2.87969225470098,4.86626631262571,diff
13Orig,10,I,8,1.56296289999806,3.37779164704974,diff
13Orig,11,-VII,9,3.22206740923644,4.75545465403269,diff
13Orig,12,I,8,1.6874777138485,3.15477233659325,diff
13Orig,13,-VII,7,3.74582295226207,3.1647156741172,diff
13Orig,14,I,7,1.62889121503729,3.78190873311708,diff
13Orig,15,-VII,8,1.73677397201829,4.27676192925786,diff
13Orig,16,I,9,1.31934798632433,3.62986335286041,diff
13Orig,17,-VII,10,2.69039259780494,3.77472096397536,diff
13Swap,7,I,5,2.06955154586731,3.69656478212149,diff
13Swap,8,I,6,2.80909550862217,4.6815697478369,diff
13Swap,9,-VII,7,2.87969225470098,4.86626631262571,diff
13Swap,10,I,8,1.56296289999806,3.37779164704974,diff
13Swap,11,-VII,9,3.22206740923644,4.75545465403269,diff
13Swap,12,-VII,8,1.67358951221612,3.15477233659325,diff
13Swap,13,-VII,6,1.78370074773045,4.37442424390434,diff
13Swap,14,I,5,3.72112165345717,4.43829844939989,diff
13Swap,15,-VII,5,4.90019305804806,4.45131892597693,diff
13Swap,16,I,4,2.21857546690653,4.26445601134195,diff
13Swap,17,-VII,5,2.38980261191584,4.85504375119951,diff
14Orig,5,I,4,2.0619464717747,4.4390711945881,diff
14Orig,6,IV,5,1.71681898810483,4.39586934645238,diff
14Orig,7,V,6,1.96113820847926,4.06540780392458,diff
14Orig,8,I,7,0.998517311465863,3.42419149634115,diff
14Orig,9,IV,8,3.0215284942169,4.95814729130239,diff
14Orig,10,V,9,2.18856154300757,3.84721630367086,diff
14Orig,11,I,9,2.21065454171759,4.65006721260551,diff
14Orig,12,IV,10,0.748054765170821,2.91626177777021,diff
14Orig,13,V,10,0.446927594712898,1.85031178506384,diff
14Orig,14,I,10,0.562334931978264,2.3729478778977,diff
14Orig,15,IV,10,0.748054765170821,2.91626177777021,diff
14Swap,5,I,4,2.0619464717747,4.4390711945881,diff
14Swap,6,IV,5,1.71681898810483,4.39586934645238,diff
14Swap,7,V,6,1.96113820847926,4.06540780392458,diff
14Swap,8,I,7,0.998517311465863,3.42419149634115,diff
14Swap,9,IV,8,3.0215284942169,4.95814729130239,diff
14Swap,10,-vio,9,2.20576632718369,3.84721630367086,diff
14Swap,11,I,2,7.08822816772702,3.22651732089643,diff
14Swap,12,IV,1,5.23722324150988,5.485913792999,diff
14Swap,13,V,2,4.53829685197255,5.37861618961795,diff
14Swap,14,I,3,3.6737232073129,5.22171337184552,diff
14Swap,15,IV,4,3.78336665460863,5.18906739018764,diff
15Orig,27,I,5,2.86314745566516,4.98886868015704,same
15Orig,28,IV,6,3.3314096866695,5.03226652480925,same
15Orig,29,V,7,1.9404882237196,4.05151435331636,same
15Orig,30,I,8,2.11418440364744,4.47866429446214,same
15Orig,31,V,9,3.95028970203014,4.97055630994227,same
15Orig,32,I,10,2.05009968083705,3.80645870948351,same
15Orig,33,VI,8,6.57689042234239,4.10071657486418,same
15Orig,34,IV,5,3.28320074916938,4.38448090696284,same
15Orig,35,V,4,5.65317409722611,3.39828968922086,same
15Orig,36,I,3,3.03105543636998,5.10510241420634,same
15Orig,37,IV,4,4.66982150768118,5.13097374069575,same
15Swap,27,I,5,2.86314745566516,4.98886868015704,same
15Swap,28,IV,6,3.3314096866695,5.03226652480925,same
15Swap,29,V,7,1.9404882237196,4.05151435331636,same
15Swap,30,I,8,2.11418440364744,4.47866429446214,same
15Swap,31,V,9,3.95028970203014,4.97055630994227,same
15Swap,32,vi,10,2.06760830865433,3.80645870948351,same
15Swap,33,VI,10,6.31813777844037,4.67686582930518,same
15Swap,34,IV,3,4.46141305569927,4.91378528383038,same
15Swap,35,V,3,3.79652722041455,5.06667012603072,same
15Swap,36,I,4,1.81695638708576,4.58899934875038,same
15Swap,37,IV,4,4.66982150768118,5.13097374069575,same
16Orig,113,-VII,8,1.32324582305488,3.59891091454974,same
16Orig,114,i,9,2.77300665292017,3.79180149379044,same
16Orig,115,i,9,1.4260695562919,3.85339390265098,same
16Orig,116,-VII,10,1.24297845647109,3.46456365062379,same
16Orig,117,-VII,10,1.12451185003534,3.25141344687368,same
16Orig,118,i,10,1.94397531813219,3.92100387826457,same
16Orig,119,i,10,1.62975588056521,4.03526971855182,same
16Orig,120,-VII,10,1.24297845647109,3.46456365062379,same
16Orig,121,-VII,10,1.12451185003534,3.25141344687368,same
16Orig,122,i,10,1.94397531813219,3.92100387826457,same
16Orig,123,i,10,1.62975588056521,4.03526971855182,same
16Swap,113,-VII,8,1.32324582305488,3.59891091454974,same
16Swap,114,i,9,2.77300665292017,3.79180149379044,same
16Swap,115,i,9,1.4260695562919,3.85339390265098,same
16Swap,116,-VII,10,1.24297845647109,3.46456365062379,same
16Swap,117,-VII,10,1.12451185003534,3.25141344687368,same
16Swap,118,-VI,10,1.92522739280873,3.92100387826457,same
16Swap,119,i,6,6.37879106593313,1.85649338076187,same
16Swap,120,-VII,4,3.06538195574854,4.99665689811124,same
16Swap,121,-VII,5,5.25671886415612,4.01572736449639,same
16Swap,122,i,3,3.12913439396305,5.04374293891889,same
16Swap,123,i,4,2.19677447040832,4.53733188942151,same
17Orig,121,-VII,10,1.12451185003534,3.25141344687368,same
17Orig,122,i,10,1.94397531813219,3.92100387826457,same
17Orig,123,i,10,1.62975588056521,4.03526971855182,same
17Orig,124,-VII,10,1.24297845647109,3.46456365062379,same
17Orig,125,-VII,10,1.12451185003534,3.25141344687368,same
17Orig,126,i,10,1.94397531813219,3.92100387826457,same
17Orig,127,i,10,1.62975588056521,4.03526971855182,same
17Orig,128,-VII,10,1.24297845647109,3.46456365062379,same
17Orig,129,-VII,10,1.12451185003534,3.25141344687368,same
17Orig,130,r,10,4.14707236128461,3.92100387826457,same
17Orig,131,r,3,1.87834750834643,3.67856579063611,same
17Swap,121,-VII,10,1.12451185003534,3.25141344687368,same
17Swap,122,i,10,1.94397531813219,3.92100387826457,same
17Swap,123,i,10,1.62975588056521,4.03526971855182,same
17Swap,124,-VII,10,1.24297845647109,3.46456365062379,same
17Swap,125,-VII,10,1.12451185003534,3.25141344687368,same
17Swap,126,-VI,10,1.92522739280873,3.92100387826457,same
17Swap,127,i,6,6.37879106593313,1.85649338076187,same
17Swap,128,-VII,4,3.06538195574854,4.99665689811124,same
17Swap,129,-VII,5,5.25671886415612,4.01572736449639,same
17Swap,130,r,3,3.29474198778189,5.04374293891889,same
17Swap,131,r,3,1.87834750834643,3.67856579063611,same
18Orig,108,I,4,3.36484656823541,5.11013700006336,diff
18Orig,109,V,5,3.75678986829994,4.80925381847433,diff
18Orig,110,I,6,1.58560657248397,3.9263696483689,diff
18Orig,111,I,7,1.65063713073316,4.17521061338424,diff
18Orig,112,I,8,2.69463147857506,4.56936597099033,diff
18Orig,113,V,9,1.94531424830115,3.86800731242267,diff
18Orig,114,IV,8,5.72477175165025,1.48704900678049,diff
18Orig,115,I,6,2.01990826100803,4.21279845200102,diff
18Orig,116,r,7,3.34449671010554,4.19287635460448,diff
18Orig,117,r,6,1.653070319527,3.44203792840468,diff
18Swap,108,I,4,3.36484656823541,5.11013700006336,diff
18Swap,109,V,5,3.75678986829994,4.80925381847433,diff
18Swap,110,I,6,1.58560657248397,3.9263696483689,diff
18Swap,111,I,7,1.65063713073316,4.17521061338424,diff
18Swap,112,I,8,2.69463147857506,4.56936597099033,diff
18Swap,113,I,9,1.96674281645955,3.86800731242267,diff
18Swap,114,IV,10,2.96458583444562,4.28611971940331,diff
18Swap,115,I,10,3.891462391115,3.90831165121923,diff
18Swap,116,r,7,3.60408889106842,4.39011585217802,diff
18Swap,117,r,5,0.891103485128877,2.76006304541088,diff
19Orig,177,i,7,2.16955783946674,3.89072523296912,diff
19Orig,178,i,7,3.24547365111656,4.32142595801272,diff
19Orig,179,i,6,1.24630739999574,3.84830033321088,diff
19Orig,180,i,6,0.611264543573063,2.65868493669762,diff
19Orig,181,i,7,0.619297265190417,2.66547600500419,diff
19Orig,182,i,9,1.62301680248231,3.32678860076926,diff
19Orig,183,i,9,0.964938724883406,3.44113467685322,diff
19Orig,184,i,10,1.58000016879325,3.93893087289286,diff
19Orig,185,i,10,0.811201979359318,3.16353190039608,diff
19Orig,186,i,10,0.370118871306708,1.81481079552841,diff
19Orig,187,i,10,0.370118871306708,1.81481079552841,diff
19Swap,177,i,7,2.16955783946674,3.89072523296912,diff
19Swap,178,i,7,3.24547365111656,4.32142595801272,diff
19Swap,179,i,6,1.24630739999574,3.84830033321088,diff
19Swap,180,i,6,0.611264543573063,2.65868493669762,diff
19Swap,181,i,7,0.619297265190417,2.66547600500419,diff
19Swap,182,iv,9,1.6459533447338,3.32678860076926,diff
19Swap,183,i,8,3.88143339653275,2.87222038752367,diff
19Swap,184,i,7,1.15549891459225,3.31741192308016,diff
19Swap,185,i,7,0.80577682699817,2.91714720175151,diff
19Swap,186,i,9,2.01455535889563,3.83748555825253,diff
19Swap,187,i,6,3.77532991887165,2.84861362292875,diff
20Orig,115,V,7,0.638691647310297,2.73815080799084,diff
20Orig,116,V,10,2.4389659172848,4.23468996465883,diff
20Orig,117,V,10,1.40488889956108,3.97140116188352,diff
20Orig,118,I,10,2.8943831953388,4.43900883615708,diff
20Orig,119,-VII,10,6.01753717462768,3.53824606001101,diff
20Orig,120,IV,6,1.952342577304,3.85837789495154,diff
20Orig,121,I,6,1.04803885895321,3.51305151103722,diff
20Orig,122,-VII,6,0.62316680553129,2.63314509431334,diff
20Orig,123,IV,8,2.11365608957418,2.78024744802195,diff
20Orig,124,I,7,0.60542442358014,2.64491288543189,diff
20Orig,125,-VII,9,1.3724625072592,3.6815042097313,diff
20Swap,115,V,7,0.638691647310297,2.73815080799084,diff
20Swap,116,V,10,2.4389659172848,4.23468996465883,diff
20Swap,117,V,10,1.40488889956108,3.97140116188352,diff
20Swap,118,I,10,2.8943831953388,4.43900883615708,diff
20Swap,119,-VII,10,6.01753717462768,3.53824606001101,diff
20Swap,120,I,6,1.92940109738143,3.85837789495154,diff
20Swap,121,I,6,1.09365501792306,3.55871340853813,diff
20Swap,122,-VII,6,1.02061986946614,3.38784929664409,diff
20Swap,123,IV,6,2.85105550413529,2.60626419530902,diff
20Swap,124,I,6,1.82253518314805,4.31259733187743,diff
20Swap,125,-VII,7,3.32691381022342,4.14776619140381,diff
21Orig,37,V,9,2.83528015068027,3.78483510886826,diff
21Orig,38,I,9,2.16135805868091,4.14879667906585,diff
21Orig,39,I,10,0.66117825270999,2.80112977608552,diff
21Orig,40,I,10,1.37634362759241,3.70160644209066,diff
21Orig,41,I,10,1.71641959614442,3.85900485018641,diff
21Orig,42,I,10,1.92046753018192,3.83458317450422,diff
21Orig,43,I,10,1.73357236735084,4.32361937976141,diff
21Orig,44,V,10,3.65675146358257,3.72658127140249,diff
21Orig,45,V,10,2.31735999658406,4.34026371741172,diff
21Orig,46,V,10,3.59926129321141,3.7715655772057,diff
21Orig,47,V,7,0.154742408405976,0.941536545285162,diff
21Swap,37,V,9,2.83528015068027,3.78483510886826,diff
21Swap,38,I,9,2.16135805868091,4.14879667906585,diff
21Swap,39,I,10,0.66117825270999,2.80112977608552,diff
21Swap,40,I,10,1.37634362759241,3.70160644209066,diff
21Swap,41,I,10,1.71641959614442,3.85900485018641,diff
