"Row","Symbol","Order","Information_content","Entropy"
126,"ii",5,2.28698954261248,4.04655307269353
127,"V",4,0.146659780344733,0.932097440938199
128,"iii",7,5.81504409655989,4.33987984941883
129,"VI",3,5.59387603389287,4.05140126139475
130,"ii",3,3.32590520891632,4.94369890048426
131,"V",4,1.83719108406536,4.10506645139673
132,"I",5,2.06973568936073,3.76256265547916
133,"VI",5,5.58777194098669,5.04259918363667
134,"r",5,2.24950610785119,4.04655307269353
135,"r",2,1.77752516477307,3.51000874484331
